bloque	formato	escenario	ed_14_20	ed_21_28	ed_29_40	ed_41_50	ed_50	soltero	casado	unionlib	sex_fem	sex_mas	trab_desem	trab_formal	trab_inform	est_ninguno	est_primaria	est_secun	est_tecnico	est_uni	viajeoblig	frecuencia	evas_torniquete	evas_puertas	conoce_multa	conoce_valor	reincide_no_comparendo	colarse_10	colarse_10_50	colarse_50	posibilad_percibida	satis_costo	satis_comodidad	satis_seguridad	satis_general	fin_justifica	importa_ganar	no_reglas	ingreso	perfil	perfil_1	perfil_2	perfil_3	perfil_4	perfil_5	perfil_6	multa	retencion	policia_perros	camara	aleatoria	prob	evade	i1	i2	i3	i4	ingresoprom	gasto	gasto_ingreso	colarse_10mas
2	7	7	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	214	0	1	0	0	0.1	1	1	0	0	0	828	24	0.115942028	0
2	7	8	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	214	6	0	1	0	0.2	0	1	0	0	0	828	24	0.115942028	0
2	7	9	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	854	0	1	0	0	0.1	0	1	0	0	0	828	24	0.115942028	0
2	7	10	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	854	6	0	0	1	0.1	0	1	0	0	0	828	24	0.115942028	0
2	7	11	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	854	2	1	0	0	0.1	0	1	0	0	0	828	24	0.115942028	0
2	7	12	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	10	0	1	1	0	1	1	0	0	0.05	1	2	1	2	4	3	2	1	2	0	1	0	0	0	0	2.4	6	0	0	1	0.5	1	1	0	0	0	828	24	0.115942028	0
1	8	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	427	0	1	0	0	0.5	1	0	0	0	0	2250	33.6	0.059733332	1
1	8	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	214	2	0	1	0	0.1	0	0	0	0	0	2250	33.6	0.059733332	1
1	8	3	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	427	2	0	0	1	0.2	1	0	0	0	0	2250	33.6	0.059733332	1
1	8	4	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	427	0	1	0	0	0.5	0	0	0	0	0	2250	33.6	0.059733332	1
1	8	5	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	214	2	0	0	1	0.5	0	0	0	0	0	2250	33.6	0.059733332	1
1	8	6	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	14	1	0	1	0	1	0	0	1	0.05	1	4	5	3	1	3	5	0	5	0	0	0	0	1	0	854	2	0	0	1	0.5	0	0	0	0	0	2250	33.6	0.059733332	1
